"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:14:00,34.138.26.139:26258,0,2.33,0,0.00487,5135823,204799,1643645,0,0,0,0,0,0,0,77.4,31.9,0.888,463,0,4409261,0,0,0,0,0,0,0,0,0,1765539,0,0,0,52,5
2022-08-30 18:14:15,34.138.26.139:26258,0,2.17,0,0.00512,4661396,212991,1913511,0,0,0,0,0,0,0,72.6,28.8,0.830,454,0,4398775,0,0,0,0,0,0,0,0,0,2478571,0,0,0,52,9
2022-08-30 18:14:30,34.138.26.139:26258,0,2.28,0,0.00512,4858042,212991,2000907,0,0,0,0,0,0,0,58.7,29.0,0.673,448,0,5242879,0,0,0,0,0,0,0,0,0,2595880,0,0,0,52,13
2022-08-30 18:14:45,34.138.26.139:26258,0,5.84,0,0.00475,4570712,262143,2004818,0,0,0,0,0,0,0,99.9,55.7,1.75,448,0,5200936,0,0,0,0,0,0,0,0,0,3538943,0,0,0,52,14
2022-08-30 18:15:00,34.138.26.139:26258,0,7.67,0,0.00700,4736202,262143,1861746,0,0,0.00250,0,0,0,0,778,233,3.84,451,0,5179964,0,0,0,0,0,0,0,0,0,3245342,0,0,0,52,15
2022-08-30 18:15:15,34.138.26.139:26258,0,9.46,0,0.00525,4536477,327679,1807482,0,0,0.0137,0,0,0,0,1779,194,5.63,449,0,5127536,0,0,0,0,0,0,0,0,0,3395638,0,0,0,52,16
2022-08-30 18:15:30,34.138.26.139:26258,0,11.1,0,0.00587,4675129,327679,1831075,0,0,0.0181,0,0,0,0,2653,180,7.26,448,0,5106564,0,0,0,0,0,0,0,0,0,3282042,0,0,0,52,16
2022-08-30 18:15:45,34.138.26.139:26258,0,9.42,0,0.00462,4521927,360447,1871489,0,0,0.0287,0,0,0,0,1850,159,5.60,446,0,5064621,0,0,0,0,0,0,0,0,0,3149222,0,0,0,52,16
2022-08-30 18:16:00,34.138.26.139:26258,0,8.98,0,0.00525,4639370,272465,1873018,0,0,0.0169,0,0,0,0,1622,152,5.13,446,0,5033164,0,0,0,0,0,0,0,0,0,3255172,0,0,0,52,16
2022-08-30 18:16:15,34.138.26.139:26258,0,8.29,0,0.00475,4519744,303595,1861221,0,0,0.0144,0,0,0,0,1306,139,4.43,445,0,4991221,0,0,0,0,0,0,0,0,0,3516879,0,0,0,52,16
2022-08-30 18:16:30,34.138.26.139:26258,0,8.08,0,0.00450,4623241,307527,1841342,0,0,0.0131,0,0,0,0,1199,134,4.25,444,0,4970249,0,0,0,0,0,0,0,0,0,4718591,0,0,0,52,16
2022-08-30 18:16:45,34.138.26.139:26258,0,7.72,0,0.00475,4522694,270663,1914306,0,0,0.0131,0,0,0,0,1028,125,3.86,443,0,4917820,0,0,0,0,0,0,0,0,0,5242879,0,0,0,52,16
2022-08-30 18:17:00,34.138.26.139:26258,0,7.60,0,0.00462,4617023,321043,1911029,0,0,0,0,0,0,0,962,122,3.70,443,0,4896849,0,0,0,0,0,0,0,0,0,5242879,0,0,0,52,16
2022-08-30 18:17:15,34.138.26.139:26258,0,7.34,0,0.00475,4532995,324599,1981152,0,0,0,0,0,0,0,854,115,3.46,442,0,4854906,0,0,0,0,0,0,0,0,0,3953131,0,0,0,52,16
2022-08-30 18:17:30,34.138.26.139:26258,0,7.26,0,0.00462,4618557,326270,1983118,0,0,0.00937,0,0,0,0,812,113,3.40,442,0,4823449,0,0,0,0,0,0,0,0,0,3668704,0,0,0,52,16
2022-08-30 18:17:45,34.138.26.139:26258,0,7.46,0,0.00512,4567916,311459,1894208,0,0,0,0,0,0,0,918,108,3.58,442,0,4781506,0,0,0,0,0,0,0,0,0,3605790,0,0,0,52,16
2022-08-30 18:18:00,34.138.26.139:26258,0,7.87,0,0.00550,2914812,311754,1879080,0,0,0,0,0,0,0,1125,106,3.98,447,0,4760534,0,0,0,0,0,0,0,0,0,3614965,0,0,0,52,16
2022-08-30 18:18:15,34.138.26.139:26258,0,7.63,0,0.00438,333513,384040,1943797,0,0,0.0150,0,0,0,0,1028,102,3.74,447,0,4708105,0,0,0,0,0,0,0,0,0,3742105,0,0,0,52,16
2022-08-30 18:18:30,34.138.26.139:26258,0,7.56,0,0.00475,305138,377814,1925447,0,0,0,0,0,0,0,989,101,3.69,446,0,4687134,0,0,0,0,0,0,0,0,0,3768319,0,0,0,52,16
2022-08-30 18:18:45,34.138.26.139:26258,0,7.42,0,0.00550,290901,418283,1981152,0,0,0.00250,0,0,0,0,917,97.4,3.53,446,0,4645191,0,0,0,0,0,0,0,0,0,4318821,0,0,0,52,16
2022-08-30 18:19:00,34.138.26.139:26258,0,7.36,0,0.00487,289997,418446,1927413,0,0,0,0,0,0,0,886,96.3,3.46,445,0,4613733,0,0,0,0,0,0,0,0,0,4351262,0,0,0,52,16
2022-08-30 18:19:15,34.138.26.139:26258,0,7.22,0.167,0.00487,284997,417955,1979186,0,0,0,0,0,0,0,828,93.7,3.34,445,0,4571790,0,0,0,0,0,0,0,0,0,4425281,0,0,0,52,16
2022-08-30 18:19:30,34.138.26.139:26258,0,7.18,0.167,0.00563,284474,419266,1985084,0,0,0,0,0,0,0,803,92.7,3.29,444,0,4550819,0,0,0,0,0,0,0,0,0,4379676,0,0,0,52,16
2022-08-30 18:19:45,34.138.26.139:26258,0,7.07,0.333,0.00475,277582,405913,1982463,0,0,0,0,0,0,0,756,90.6,3.18,444,0,4498390,0,0,0,0,0,0,0,0,0,4430757,0,0,0,52,16
2022-08-30 18:20:00,34.138.26.139:26258,0,7.07,0.500,0.00500,278217,405995,2047999,0,0,0.00625,0,0,0,0,750,89.8,3.18,444,0,4477419,0,0,0,0,0,0,0,0,0,4723834,0,0,0,52,16
2022-08-30 18:20:15,34.138.26.139:26258,0,6.72,0.500,0.00500,272921,688127,2069298,0,0,0,0,0,0,0,586,87.9,2.84,443,0,4451204,0,0,0,0,0,0,0,0,0,4432330,0,0,0,51,15
2022-08-30 18:20:30,34.138.26.139:26258,0,7.01,0.500,0.0112,280590,688127,8388607,0,0,0,0,0,0,195,576,87.3,2.82,231,0,4443340,0,0,0,0,0,0,0,0,0,4356832,26856,38222,0,51,16
2022-08-30 18:20:45,34.138.26.139:26258,0,7.35,0.333,0.00487,282440,401079,10485759,0,0,0.00250,0,0,0,0,554,85.7,2.77,445,0,4694998,0,0,0,0,0,0,0,0,0,4107795,0,0,0,51,16
2022-08-30 18:21:00,34.138.26.139:26258,0,7.32,0.167,0.00562,282483,368639,13631487,0,0,0,0,0,0,0,546,85.0,2.76,444,0,4689755,0,0,0,0,0,0,0,0,0,3167354,0,0,0,51,16
2022-08-30 18:21:15,34.138.26.139:26258,0,7.24,0,0.00500,280039,157122,10967237,0,0,0.00500,0,0,0,0,526,83.7,2.71,443,0,4676648,0,0,0,0,0,0,0,0,0,3284663,0,0,0,51,16
2022-08-30 18:21:30,34.138.26.139:26258,0,8.64,0,0.0137,313768,160480,10930527,0,0,0.00562,0,0,0,0,518,676,2.70,446,0,4671405,0,0,0,0,0,0,0,0,0,3474390,0,0,0,51,16
2022-08-30 18:21:45,34.138.26.139:26258,0,8.51,0,0.00550,311536,169792,9647422,0,0,0.00250,0,0,0,0,501,648,2.65,446,0,4660919,0,0,0,0,0,0,0,0,0,3586784,0,0,0,51,16
2022-08-30 18:22:00,34.138.26.139:26258,0,8.48,0,0.00475,310886,172850,9670200,0,0,0.00875,0,0,0,0,494,635,2.65,445,0,4653055,0,0,0,0,0,0,0,0,0,3646946,0,0,0,51,16
2022-08-30 18:22:15,34.138.26.139:26258,0,8.38,0,0.00562,309869,178544,12825394,0,0,0,0,0,0,0,479,610,2.61,445,0,4642569,0,0,0,0,0,0,0,0,0,4187749,0,0,0,51,16
2022-08-30 18:22:30,34.138.26.139:26258,0,8.34,0,0.00475,309898,192839,11915755,0,0,0,0,0,0,0,472,599,2.59,445,0,4637326,0,0,0,0,0,0,0,0,0,4448583,0,0,0,51,16
2022-08-30 18:22:45,34.138.26.139:26258,0,8.41,0,0.00662,311169,205045,11373553,0,0,0,0,0,0,0,582,609,2.74,445,0,4624219,0,0,0,0,0,0,0,0,0,4280811,0,0,0,51,16
2022-08-30 18:23:00,34.138.26.139:26258,0,8.40,0,0.00537,313980,204963,11552685,0,0,0,0,0,0,0,576,598,2.74,445,0,4618976,0,0,0,0,0,0,0,0,0,4442466,0,0,0,51,16
2022-08-30 18:23:15,34.138.26.139:26258,0,8.30,0,0.00487,313923,205209,11303648,0,0,0,0,0,0,2067,564,578,2.71,445,0,4608491,0,0,0,0,0,0,0,0,0,4393008,0,0,0,51,16
2022-08-30 18:23:30,34.138.26.139:26258,0,8.27,0,0.00475,314036,210533,11990466,0,0,0.00937,0,0,0,2458,557,568,2.70,444,0,4600626,0,0,0,0,0,0,0,0,0,291708,0,0,0,722,16
2022-08-30 18:23:45,34.138.26.139:26258,0,10.8,0.167,0.134,1791986,246332,13898874,0,0,0.0375,0,0,0,0,567,632,2.96,582,0,4852284,0,0,0,0,0,0,0,0,0,939637,269644,302616,0,3052,30
2022-08-30 18:24:00,34.138.26.139:26258,283,16.6,0.167,0.119,2421117,246251,7310825,0,3.90,0.0462,0,0,0,0,583,747,3.22,640,0,5237636,0,0,0,0,0,0,0,0,0,2063141,269644,302616,0,3052,41
2022-08-30 18:24:15,34.138.26.139:26258,854,53.0,0.333,0.411,4893336,274923,7218583,0,3.57,0.408,0,0,0,0,541,1685,2.86,817,0,5824839,0,0,0,0,0,0,0,0,0,2034201,843938,917001,0,3052,47
2022-08-30 18:24:30,34.138.26.139:26258,1259,58.8,0.500,0.406,6240962,292781,7310073,0,3.90,0.168,0,0,0,0,531,1813,2.80,892,0,5822217,0,0,0,0,0,0,0,0,0,261961,843938,917001,0,3052,54
2022-08-30 18:24:45,34.138.26.139:26258,1667,76.9,0.667,0.405,8892741,587199,4437077,0,0,0.133,0,0,0,0,558,2237,2.86,1042,0,5816974,0,0,0,0,0,0,0,0,0,87454,1865728,1932387,0,3052,62
2022-08-30 18:25:00,34.138.26.139:26258,1667,92.5,0.833,0.436,10273799,585445,7439667,0,0,0.184,0,0,0,0,7666,2478,189,1115,0,5944114,0,0,0,0,0,0,0,0,0,88787,2865548,2958539,0,3052,66
2022-08-30 18:25:15,34.138.26.139:26258,1667,105,0.833,0.436,12955083,208577,4482849,0,0,0.232,0,0,0,0,6694,2776,169,1247,0,5938871,0,0,0,0,0,0,0,0,0,93043,3911881,4022725,0,3052,74
