"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:13:15.000,34.138.219.104:26258,0,0.0600,0,0.00737,3837613,0,0,0,0,0,0,0,0,721,0,0,0,448,0,5418515,2371,2162,0,0,0,0,0,210,0,2183659,150039,169264,0,39,0
2022-08-30 18:13:30.000,34.138.219.104:26258,0,0.0375,0,0.00637,6296958,0,139263,0,0,0,0,0,0,770,0,0,0,457,0,5375262,3136,2906,0,0,0,0,0,230,0,2037186,205372,234512,0,42,0
2022-08-30 18:13:45.000,34.138.219.104:26258,0,0.318,0.200,0.0805,4511685,94548,26906708,0,0,0.0181,0,0,0,0,0,0,0,797,0,5317590,4806,4626,0,0,0,0,0,179,0.500,901848,451615,493451,0,1421,237
2022-08-30 18:14:00.000,34.138.219.104:26258,0,387,0.333,0.192,5778765,99249,12355214,0,0,0.0687,0,0,0,0,11027,11722,60.7,3115,0,5288754,3218,3103,0,0,0,0,0,115,0.250,1029463,329751,359434,0,2702,688
2022-08-30 18:14:15.000,34.138.219.104:26258,0,603,0.333,0.00713,6075852,98591,12480072,0,0,0,0,0,0,0,104764,6378,406,2595,0,5295308,0,0,0,0,0,0,0,0,0,943695,0,0,0,3053,858
2022-08-30 18:14:30.000,34.138.219.104:26258,0,413,0.333,0.00950,6354630,99187,22259950,0,0,0,0,0,0,0,68940,4643,269,2214,0,5274336,0,0,0,0,0,0,0,0,0,1121243,0,0,0,3053,857
2022-08-30 18:14:45.000,34.138.219.104:26258,0,105,0.167,0.00712,5934068,116694,8908701,0,0,0.00250,0,0,0,0,1088,3002,12.7,1775,0,5232393,0,0,0,0,0,0,0,0,0,1315307,0,0,0,3053,848
2022-08-30 18:15:00.000,34.138.219.104:26258,0,90.7,0,0.0385,6316073,220494,3110338,0,0,0.01000,0,0,0,0,2560,2909,15.3,1656,0,5200936,0,0,0,0,0,0,0,0,0,3928696,424330,471992,0,3053,1192
2022-08-30 18:15:15.000,34.138.219.104:26258,0,70.8,0,0.00912,6023115,204198,3120823,0,0,0,0,0,0,0,26482,2343,152,1446,0,5158993,0,0,0,0,0,0,0,0,0,141270,0,0,0,3053,1181
2022-08-30 18:15:30.000,34.138.219.104:26258,0,63.1,0,0.00675,6214934,202737,3103784,0,0,0.00250,0,0,0,0,24543,2080,141,1365,0,5138021,0,0,0,0,0,0,0,0,0,3909929,0,0,0,3053,1174
