"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:23:15,34.138.40.197:26258,0,84.1,0,0.00662,3031028,194559,10736107,0,0,0.00312,0,0,0,0,38971,32493,81.7,936,0,4818206,0,0,0,0,0,0,0,0,0,4215275,0,0,0,3053,1050
2022-08-30 18:23:30,34.138.40.197:26258,0,79.7,0,0.00787,3039726,208403,13967031,0,0,0.00250,0,0,0,0,38068,31807,77.7,905,0,4744805,0,0,0,0,0,0,0,0,0,4274985,0,0,0,3053,1050
2022-08-30 18:23:45,34.138.40.197:26258,0,77.1,0,0.00687,2835039,241008,13969653,0,0,0,0,0,0,0,37466,31405,75.2,889,0,4689755,0,0,0,0,0,0,0,0,0,4299161,0,0,0,3053,1050
2022-08-30 18:24:00,34.138.40.197:26258,0,72.6,0,0.00850,2574392,241090,14211699,0,0,0,0,0,0,0,36372,30675,70.7,859,0,4616355,0,0,0,0,0,0,0,0,0,4320132,0,0,0,3053,1050
2022-08-30 18:24:15,34.138.40.197:26258,0,70.5,0,0.00712,1624601,195296,10393717,0,0,0,0,0,0,0,35873,30343,68.6,848,0,4579655,0,0,0,0,0,0,0,0,0,4355421,0,0,0,3053,1050
2022-08-30 18:24:30,34.138.40.197:26258,0,67.1,0,0.00937,562268,194887,10989075,0,0,0,0,0,0,0,34966,29742,65.0,824,0,4487904,0,0,0,0,0,0,0,0,0,4427320,0,0,0,3053,1050
2022-08-30 18:24:45,34.138.40.197:26258,0,65.4,0,0.00713,562155,202505,10465536,0,0,0,0,0,0,0,34546,29462,63.3,813,0,4451204,0,0,0,0,0,0,0,0,0,4485283,0,0,0,3053,1050
2022-08-30 18:25:00,34.138.40.197:26258,0,62.2,0.167,0.00937,559683,243465,11896094,0,0,0,0,0,0,0,33769,28946,60.1,793,0,4377804,0,0,0,0,0,0,0,0,0,4542955,0,0,0,3053,1050
2022-08-30 18:25:15,34.138.40.197:26258,0,60.7,0.167,0.00687,556265,243629,10842275,0,0,0.00250,0,0,0,0,33411,28707,58.6,783,0,4322754,0,0,0,0,0,0,0,0,0,4558945,0,0,0,3053,1050
2022-08-30 18:25:30,34.138.40.197:26258,0,58.0,0.167,0.00725,405391,227573,11515985,0,0,0,0,0,0,0,32747,28263,55.9,766,0,4249353,0,0,0,0,0,0,0,0,0,4632666,0,0,0,3053,1050
2022-08-30 18:25:45,34.138.40.197:26258,0,56.7,0.167,0.00875,403400,224419,11529092,0,0,0.0250,0,0,0,0,32438,28057,54.7,758,0,4212653,0,0,0,0,0,0,0,0,0,4667910,0,0,0,3053,1050
2022-08-30 18:26:00,34.138.40.197:26258,0,54.7,0,0.00887,402764,224706,10643045,0,0,0.00937,0,0,0,0,31859,27674,52.3,744,0,4178574,0,0,0,0,0,0,0,0,0,4651016,0,0,0,3053,1050
2022-08-30 18:26:15,34.138.40.197:26258,0,53.6,0,0.0152,425024,241335,10435577,0,0,0.00250,0,0,0,0,31589,27494,51.2,736,0,4170710,0,0,0,0,0,0,0,0,0,4595383,249457,275746,0,3053,1050
