"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:18:00,34.148.155.25:26258,0,9.39,0,0.00762,8146195,253367,2184532,0,0,0.00312,0,0,0,0,39578,19573,110,660,0,7536639,0,0,0,0,0,0,0,0,0,3691970,0,0,0,3053,53
2022-08-30 18:18:15,34.148.155.25:26258,0,9.78,0,0.00637,2584745,192675,2165964,0,0,0,0,0,0.0200,0,38294,19820,100,650,0,7208959,0,0,0,0,0,0,0,0,0,3793223,0,0,0,3053,57
2022-08-30 18:18:30,34.148.155.25:26258,0,9.70,0,0.00775,2058438,192675,2098899,0,0,0,0,0,0.0200,0,37424,19809,95.7,644,0,7077887,0,0,0,0,0,0,0,0,0,3904634,0,0,0,3053,60
2022-08-30 18:18:45,34.148.155.25:26258,0,9.48,0,0.00600,844171,187077,2172517,0,0,0,0,0,0.0400,0,35673,19549,87.7,631,0,6815743,0,0,0,0,0,0,0,0,0,4333239,0,0,0,3053,62
2022-08-30 18:19:00,34.148.155.25:26258,0,9.58,0,0.00662,421422,187125,2177979,0,0,0,0,0,0.0400,0,35014,19551,84.2,625,0,6619135,0,0,0,0,0,0,0,0,0,4288675,0,0,0,3053,67
2022-08-30 18:19:15,34.148.155.25:26258,0,9.06,0,0.00812,418498,208158,2182785,0,0,0.00250,0,0,0.0200,0,34079,19766,78.0,614,0,6356991,0,0,0,0,0,0,0,0,0,4265956,0,0,0,3053,69
2022-08-30 18:19:30,34.148.155.25:26258,0,9.08,0,0.00650,418060,208240,2194144,0,0,0.0125,0,0,0,0,33551,19758,75.2,610,0,6225919,0,0,0,0,0,0,0,0,0,4290248,0,0,0,3053,73
2022-08-30 18:19:45,34.148.155.25:26258,0,8.91,0.167,0.00612,408060,217169,2386820,0,0,0,0,0,0,0,32655,19739,70.3,600,0,5898239,0,0,0,0,0,0,0,0,0,4333239,0,0,0,3053,76
2022-08-30 18:20:00,34.148.155.25:26258,0,8.85,0.167,0.00650,407157,357989,2227131,0,0,0.0219,0,0,0,0,32330,19728,68.7,596,0,5767167,0,0,0,0,0,0,0,0,0,4353687,0,0,0,3053,79
2022-08-30 18:20:15,34.148.155.25:26258,0,8.56,0.333,0.00612,405165,301956,2235432,0,0,0,0,0,0,0,31715,19708,64.6,588,0,5505023,0,0,0,0,0,0,0,0,0,4403494,0,0,0,3053,83
