"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:05:45,34.148.111.75:26258,0,2.32,0,0.00737,46211,221854,1164901,0,0,0.0150,0,0,0,0,40.1,38.0,0.524,41.6,0,3849584,0,89797,94276,76388,0,3,272003072
2022-09-05 15:06:00,34.148.111.75:26258,0,6.58,0,0.0377,317639,563890,3801087,0,0,0.0181,0,0,0,0,118,337,1.43,278,0,3888905,0.100,425749,477422,508133,0,25,306454528
2022-09-05 15:06:15,34.148.111.75:26258,0,316,0.200,0.462,4365535,39845887,142100979,0,0,0.0962,21,72,0,0,10181,8778,77.9,1866,342029,6438256,0,46137343,22786997,23330924,0,286,477384704
2022-09-05 15:06:30,34.148.111.75:26258,0,617,0.167,0.132,5270229,96468991,2818572287,0,0,0.0750,0,0,0,0,80107,36963,612,8707,711696,6391070,0,451371,19063574,19502762,0,197,457625600
2022-09-05 15:06:45,34.148.111.75:26258,0,248,0.167,0.0165,4917497,1910818,139951940,0,0,0.00812,0,0,0,0,31454,13566,235,3657,0,6296698,0,2384970,1706002,1719533,0,209,475332608
2022-09-05 15:07:00,34.148.111.75:26258,0,195,0.167,0.00875,5194739,1534197,47311748,0,0,0.0131,0,0,0,0,24451,10381,182,2848,0,6225919,0,2480930,854719,862176,0,209,477859840
2022-09-05 15:07:15,34.148.111.75:26258,0,138,0,0.0251,4988253,233853,2551971,0,0,0.0112,0,0,0,0,314042,7118,1825,1971,0,6207569,0,108287,0,0,0,366,517025792
2022-09-05 15:07:30,34.148.111.75:26258,0,122,0,0.0173,5211991,200758,2439249,0,0,0.00812,0,0,0,0,529485,6299,3060,1716,0,6165626,0,109075,0,0,0,363,536162304
2022-09-05 15:07:45,34.148.111.75:26258,0,99.2,0,0.00787,5003827,208895,2445147,0,0,0.00812,0,0,0,0,416646,4975,2408,1363,0,6060768,0,121404,0,0,0,363,544083968
2022-09-05 15:08:00,34.148.111.75:26258,0,90.9,0,0.0109,5183966,265010,1641676,0,0,0.0231,0,0,0,0,376560,4507,2177,1236,0,6018825,0,135140,0,0,0,364,534224896
2022-09-05 15:08:15,34.148.111.75:26258,0,78.6,0,0.00750,5026341,260423,1627039,0,0,0.0156,0,0,0,0,315858,3794,1826,1042,0,5934939,0,124517,0,0,0,364,536625152
2022-09-05 15:08:30,34.148.111.75:26258,0,73.9,0,0.00937,5179501,260423,1702624,0,0,0.00875,0,0,0,0,295200,3545,1714,967,0,5872025,0,127897,0,0,0,364,537698304
2022-09-05 15:08:45,34.148.111.75:26258,0,65.9,0,0.00787,5052805,251903,1665924,0,0,0.0112,0,0,0,0,256923,3098,1492,845,0,5788139,0,121343,0,0,0,364,539574272
2022-09-05 15:09:00,34.148.111.75:26258,0,62.7,0,0.00750,5183471,244284,1569805,0,0,0.00250,0,0,0,0,241285,2914,1401,795,0,5746195,0,124558,0,0,0,365,540913664
2022-09-05 15:09:15,34.148.111.75:26258,0,57.2,0,0.00750,5075455,238550,1663958,0,0,0.00500,0,0,0,0,215132,2604,1249,711,0,5641338,0,145571,0,0,0,365,543309824
2022-09-05 15:09:30,34.148.111.75:26258,0,55.2,0,0.00987,5185226,246496,2688286,0,0,0,0,0,0,0,205999,2483,1201,675,0,5599395,0,171048,0,0,0,366,544120832
2022-09-05 15:09:45,34.148.111.75:26258,89.8,51.4,0,0.00812,5084711,4892684,10708956,0,88.2,0.00812,0,0,0,0,186811,2255,1090,613,0,6165626,0,607780,0,0,0,367,546603008
2022-09-05 15:10:00,34.148.111.75:26258,265,137,0.167,0.265,8490866,4952819,9744416,0,96.5,0.165,1,16,0,0,394205,237910,1173,658,0,8257535,0,9413773,19050394,19236659,0,387,683716608
