"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:13:30.000,34.139.117.122:26258,0,0.106,0,0.00887,2672323,0,4023705,0,0,0.00250,0,0,0,0,0,0,0,456,0,3591372,7248,7012,0,0,0,0,0,237,0,1791753,269746,297795,0,47,2
2022-08-30 18:13:45.000,34.139.117.122:26258,0,1.85,0,0.0847,3251148,62852,3048142,0,0,0.0231,0,0,0,0,0,150,0,1200,0,4592762,4338,4159,0,0,0,0,0,179,0,294193,529556,577252,0,944,26
2022-08-30 18:14:00.000,34.139.117.122:26258,0,74.9,0,0.129,4282326,117904,10768865,0,0,0.0781,0,0,0,0,766,2103,8.91,1953,0,4550819,0,0,0,0,0,0,0,0,0,1170569,0,0,0,3053,347
2022-08-30 18:14:15.000,34.139.117.122:26258,0,103,0,0.00925,4488132,144130,10773642,0,0,0,0,0,0,0,933,1344,58.1,2083,0,4529847,0,0,0,0,0,0,0,0,0,1694906,0,0,0,3053,181
2022-08-30 18:14:30.000,34.139.117.122:26258,0,55.3,0,0.00787,4073195,152170,10670983,0,0,0.00250,0,0,0,0,520,808,26.0,1713,0,4477419,0,0,0,0,0,0,0,0,0,1181365,0,0,0,3053,187
2022-08-30 18:14:45.000,34.139.117.122:26258,0,45.7,0,0.00787,4241563,167761,9522303,0,0,0,0,0,0,0,434,671,20.6,1586,0,4456447,0,0,0,0,0,0,0,0,0,1208701,0,0,0,3053,186
2022-08-30 18:15:00.000,34.139.117.122:26258,0,40.4,0,0.00837,4067955,243046,9757872,0,0,0.00312,0,0,0,0,1858,925,19.4,1409,0,4404018,0,0,0,0,0,0,0,0,0,168263,0,0,0,3053,385
2022-08-30 18:15:15.000,34.139.117.122:26258,0,35.8,0,0.00800,4210879,244992,9621732,0,0,0,0,0,0,0,1616,806,17.0,1333,0,4383047,0,0,0,0,0,0,0,0,0,233034,0,0,0,3053,388
2022-08-30 18:15:30.000,34.139.117.122:26258,0,34.7,0,0.00900,4045939,242036,9434562,0,0,0,0,0,0,0,1293,685,13.8,1218,0,4341104,0,0,0,0,0,0,0,0,0,233662,0,0,0,3053,390
2022-08-30 18:15:45.000,34.139.117.122:26258,0,32.5,0,0.0137,4199218,245677,9836953,0,0,0,0,0,0,0,1177,650,12.6,1168,0,4320132,0,0,0,0,0,0,0,0,0,3735879,206258,245240,0,3053,390
