"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:18:30,34.148.198.226:26258,0,55.7,0,0.0116,2001842,126320,1627586,0,0,0,0,0,0,0,437,1251,5.28,650,0,4940103,0,0,0,0,0,0,0,0,0,4204789,0,0,0,3054,1740
2022-08-30 18:18:45,34.148.198.226:26258,0,52.7,0,0.00975,797915,69221,1631408,0,0,0,0,0,0,0,412,1186,4.98,637,0,4924374,0,0,0,0,0,0,0,0,0,4276150,0,0,0,3054,1724
2022-08-30 18:19:00,34.148.198.226:26258,0,51.3,0,0.0114,579824,114032,1723596,0,0,0,0,0,0,0,399,1153,4.83,632,0,4916510,0,0,0,0,0,0,0,0,0,4270907,0,0,0,3054,1716
2022-08-30 18:19:15,34.148.198.226:26258,0,48.2,0,0.01000,560488,114073,1557528,0,0,0.00500,0,0,0,0,373,1084,4.51,620,0,4896849,0,0,0,0,0,0,0,0,0,4379676,0,0,0,3054,1701
2022-08-30 18:19:30,34.148.198.226:26258,0,46.8,0,0.0111,565234,114073,1538784,0,0,0,0,0,0,0,360,1053,4.36,615,0,4888985,0,0,0,0,0,0,0,0,0,4417562,0,0,0,3054,1694
2022-08-30 18:19:45,34.148.198.226:26258,0,44.1,0,0.01000,501237,57241,1609235,0,0,0.0400,0,0,0,0,337,994,4.08,604,0,5258608,0,0,0,0,0,0,0,0,0,4567203,0,0,0,3054,1679
2022-08-30 18:20:00,34.148.198.226:26258,0,43.0,0,0.0117,503752,146472,1637088,0,0,0,0,0,0,0,327,967,3.97,600,0,5250743,0,0,0,0,0,0,0,0,0,4539459,0,0,0,3054,1671
2022-08-30 18:20:15,34.148.198.226:26258,0,40.7,0,0.0115,508610,146390,1633484,0,0,0.00250,0,0,0,0,308,918,3.73,591,0,5238947,0,0,0,0,0,0,0,0,0,4541120,0,0,0,3054,1656
2022-08-30 18:20:30,34.148.198.226:26258,0,39.7,0,0.0119,506605,146308,1626930,0,0,0.00500,0,0,0,0,298,895,3.62,587,0,5231083,0,0,0,0,0,0,0,0,0,4534828,0,0,0,3054,1647
2022-08-30 18:20:45,34.148.198.226:26258,0,37.8,0,0.01000,509571,73358,1487175,0,0,0,0,0,0,0,282,852,3.42,580,0,5211422,0,0,0,0,0,0,0,0,0,4545576,0,0,0,3054,1632
2022-08-30 18:21:00,34.148.198.226:26258,0,36.9,0,0.0189,528412,122265,1476525,0,0,0.00312,0,0,0,0,275,833,3.34,576,0,5203557,0,0,0,0,0,0,0,0,0,4511497,242448,262341,0,3054,1626
2022-08-30 18:21:15,34.148.198.226:26258,0,35.3,0,0.0122,532085,122306,1627913,0,0,0,0,0,0,0,260,797,3.16,570,0,5187829,0,0,0,0,0,0,0,0,0,2548039,0,0,0,3054,1611
2022-08-30 18:21:30,34.148.198.226:26258,0,34.5,0,0.0101,534203,122306,1597439,0,0,0.00312,0,0,0,0,253,779,3.08,567,0,5176032,0,0,0,0,0,0,0,0,0,2561146,0,0,0,3054,1603
2022-08-30 18:21:45,34.148.198.226:26258,0,33.0,0,0.00950,535785,44912,1595364,0,0,0,0,0,0,0,241,747,2.93,562,0,5160304,0,0,0,0,0,0,0,0,0,2697461,0,0,0,3054,1588
2022-08-30 18:22:00,34.148.198.226:26258,0,32.4,0,0.0124,537339,423689,1564343,0,0,0,0,0,0,0,235,732,2.86,559,0,5152439,0,0,0,0,0,0,0,0,0,2920283,0,0,0,3054,1580
2022-08-30 18:22:15,34.148.198.226:26258,0,31.7,0,0.0142,549613,152780,1612622,0,0,0.00500,0,0,0,0,224,914,2.73,555,0,5132779,0,0,0,0,0,0,0,0,0,3186796,0,0,0,3054,1564
2022-08-30 18:22:30,34.148.198.226:26258,0,31.0,0,0.0102,553214,152780,1619066,0,0,0,0,0,0,0,219,896,2.66,552,0,5124914,0,0,0,0,0,0,0,0,0,3273304,0,0,0,3054,1556
2022-08-30 18:22:45,34.148.198.226:26258,0,29.9,0,0.01000,557409,101252,1604156,0,0,0,0,0,0,0,209,863,2.55,548,0,5109186,0,0,0,0,0,0,0,0,0,3323002,0,0,0,3054,1542
2022-08-30 18:23:00,34.148.198.226:26258,0,29.3,0,0.0111,563186,117308,1650851,0,0,0.00562,0,0,0,0,204,847,2.49,547,0,5097389,0,0,0,0,0,0,0,0,0,3425173,0,0,0,3054,1534
2022-08-30 18:23:15,34.148.198.226:26258,0,28.6,0,0.0131,577352,110550,1563906,0,0,0.0125,0,0,0,0,195,954,2.38,543,0,5081660,0,0,0,0,0,0,0,0,0,3514695,0,0,0,3054,1518
2022-08-30 18:23:30,34.148.198.226:26258,0,28.1,0,0.0102,579033,110550,1566440,0,0,0.01000,0,0,0,0,191,938,2.33,541,0,5073796,0,0,0,0,0,0,0,0,0,3575425,0,0,0,3054,1511
2022-08-30 18:23:45,34.148.198.226:26258,0,27.2,0,0.00988,577254,106782,1542585,0,0,0,0,0,0,0,184,910,2.25,537,0,5054135,0,0,0,0,0,0,0,0,0.111,3700162,0,0,0,3054,1496
2022-08-30 18:24:00,34.148.198.226:26258,0,27.9,0,0.0197,608779,117145,2892196,0,0,0.01000,0,0,0,0,180,1260,2.20,537,0,5046271,0,0,0,0,0,0,0,0,0,274513,0,0,0,3054,1488
2022-08-30 18:24:15,34.148.198.226:26258,317,402,0,0.240,907956,2725553,1187668,0,141,0.373,0,0,0,0,108942,1823,138,551,0,5363465,0,0,0,0,0,0,0,0,0.0769,138765,0,0,0,3054,1489
2022-08-30 18:24:30,34.148.198.226:26258,485,1066,0,0.234,1088759,2804043,819557,0,486,0.0869,0,0,0,0,981784,2712,979,561,0,5355601,0,0,0,0,0,0,0,0,0.0625,145079,0,0,0,3054,1481
2022-08-30 18:24:45,34.148.198.226:26258,804,1505,0.167,0.249,1416580,76062,1989866,0,443,0.0250,0,0,0,0,1917831,3958,1899,570,0,5345115,0,0,0,0,0,0,0,0,0,145185,0,0,0,3054,1467
2022-08-30 18:25:00,34.148.198.226:26258,842,1489,0.167,0.185,1582115,46772,314654,0,352,0.116,0,0,0,0,1867590,4124,1875,574,0,5339872,0,0,0,0,0,0,0,0,0,149763,0,0,0,3054,1461
2022-08-30 18:25:15,34.148.198.226:26258,842,1436,0.167,0.174,1991489,63166,1077846,0,0,0.0531,0,0,0,0,1732948,4677,1781,579,0,5326765,0,0,0,0,0,0,0,0,0,134035,916794,946137,0,3054,1463
2022-08-30 18:25:30,34.148.198.226:26258,842,1503,0.167,0.163,2151601,71940,1182271,0,0,0.0706,0,0,0,0,2017026,5962,2064,586,0,5740953,0,0,0,0,0,0,0,0,0,132555,916794,946137,0,3054,1455
2022-08-30 18:25:45,34.148.198.226:26258,842,1486,0,0.157,2443716,81024,1501587,0,0,0.0287,0,0,0,19070,1968657,6431,2049,592,0,5709495,0,0,0,0,0,0,0,0,0.0526,124681,0,0,0,3054,1440
2022-08-30 18:26:00,34.148.198.226:26258,842,1499,0,0.169,2603573,81913,1545204,0,0,0.0681,0,0,0,23371,2037871,6453,2151,594,0,5685902,0,0,0,0,0,0,0,0,0,138483,0,0,0,3054,1434
2022-08-30 18:26:15,34.148.198.226:26258,842,1525,0,0.167,2922609,83078,1466726,0,0,0.0162,0,0,0,0,2234479,6906,2359,599,0,5654445,0,0,0,0,0,0,0,0,0,138492,0,0,0,3054,1420
2022-08-30 18:26:30,34.148.198.226:26258,842,1533,0,0.161,3080051,83598,1484994,0,0,0.0537,0,0,0,0,2302930,7183,2436,603,0,5638716,0,0,0,0,0,0,0,0,0,147619,0,0,0,3054,1413
2022-08-30 18:26:45,34.148.198.226:26258,842,1570,0.167,0.162,3379384,83749,1442945,0,0,0.0112,0,0,0,0,2599769,7410,2738,605,0,5599395,0,0,0,0,0,0,0,0,0,137753,0,0,0,3054,1397
2022-08-30 18:27:00,34.148.198.226:26258,842,1580,0.167,0.167,3538478,86424,1585140,0,0,0.0300,0,0,0,0,2662537,7776,2846,610,0,5583666,0,0,0,0,0,0,0,0,0,151861,0,0,0,3054,1390
2022-08-30 18:27:15,34.148.198.226:26258,842,1603,0.167,0.163,3837203,86220,1637816,0,0,0.0231,0,0,0,0,2919647,8118,3102,615,0,5552209,0,0,0,0,0,0,0,0,0,145293,0,0,0,3054,1375
2022-08-30 18:27:30,34.148.198.226:26258,842,1610,0.167,0.164,3988162,87517,1750372,0,0,0.131,0,0,0,0,3022124,8383,3206,618,0,5528616,0,0,0,0,0,0,0,0,0,147559,0,0,0,3054,1368
2022-08-30 18:27:45,34.148.198.226:26258,842,1625,0,0.162,4527648,87484,1625763,0,0,0.0550,0,0,0,0,3233140,8660,3419,620,0,5502402,0,0,0,0,0,0,0,0,0,131209,2358387,2391392,0,3054,1353
2022-08-30 18:28:00,34.148.198.226:26258,842,1642,0,0.167,4680796,89490,1569856,0,0,0.232,0,0,0,0,3407659,8852,3590,623,0,5497159,0,0,0,0,0,0,0,0,0,129647,0,0,0,3054,1347
2022-08-30 18:28:15,34.148.198.226:26258,842,1658,0.167,0.162,4979027,89642,1338737,0,0,0.0956,0,0,0,0,3683710,9180,3864,627,0,5484051,0,0,0,0,0,0,0,0,0,132317,0,0,0,3054,1332
2022-08-30 18:28:30,34.148.198.226:26258,842,1668,0.167,0.161,5139972,87973,1325178,0,0,0.0325,0,0,0,0,3851408,9359,4027,630,0,5478809,0,0,0,0,0,0,0,0,0,149940,0,0,0,3054,1325
2022-08-30 18:28:45,34.148.198.226:26258,842,1675,0.333,0.164,5430788,87840,1504012,0,0,0.1000,0,0,0,0,4039772,9729,4218,636,0,5468323,0,0,0,0,0,0,0,0,0,160913,0,0,0,3054,1311
2022-08-30 18:29:00,34.148.198.226:26258,842,1680,0.333,0.171,5479445,88526,1645437,0,0,0.0719,0,0,0,0,4169159,9972,4345,640,0,5460459,0,0,0,0,0,0,0,0,0,168535,0,0,0,3054,1303
2022-08-30 18:29:15,34.148.198.226:26258,842,1705,0.167,0.171,5429573,89514,1725680,0,0,0.0350,0,0,0,0,4611762,10293,4770,643,0,5712117,0,0,0,0,0,0,0,0,0,161838,0,0,0,3054,1288
2022-08-30 18:29:30,34.148.198.226:26258,842,1709,0.167,0.158,5401988,89540,1752329,0,0,0.0906,0,0,0,0,4754750,10456,4909,644,0,5706874,0,0,0,0,0,0,0,0,0,168192,0,0,0,3054,1281
