"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #rocksdb ingested bytes","Value #l0 ingested bytes","Value #l1 ingested bytes","Value #l2 ingested bytes","Value #l3 ingested bytes","Value #l4 ingested bytes","Value #l5 ingested bytes","Value #l6 ingested bytes","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #replicas","Value #leaseholders"
2022-08-30 18:39:30,34.73.106.214:26258,0,179,0,0.0300,209390,19356712,20499660,0,0,0.00562,0,0,0,802202,1875008,8576188,39474,716944,0,334649534,0,0,0,0,0,0,0,0,0,3911843,0,0,0,441,144
2022-08-30 18:39:45,34.73.106.214:26258,0,176,0,0.0184,207667,227819,2174483,0,0,0.00875,0,0,0,0,1849851,8473110,38934,707586,0,334202142,0,0,0,0,0,0,0,0,0,3941334,0,0,0,441,144
2022-08-30 18:40:00,34.73.106.214:26258,0,175,0,0.0179,208147,680918,2169241,0,0,0.00500,0,0,0,0,1837323,8413896,38667,702999,0,333866597,0,0,0,0,0,0,0,0,0,4432854,0,0,0,441,144
2022-08-30 18:40:15,34.73.106.214:26258,0,173,0,0.0244,208359,680918,2431385,0,0,0.00250,0,0,0,713728,1812800,8297946,38144,694002,0,333419205,0,0,0,0,0,0,0,0,0,4540333,0,0,0,441,144
2022-08-30 18:40:30,34.73.106.214:26258,0,172,0,0.0193,209023,680590,2428763,0,0,0,0,0,0,713728,1801182,8241187,37897,689590,0,333195509,0,0,0,0,0,0,0,0,0,4390037,0,0,0,441,144
2022-08-30 18:40:45,34.73.106.214:26258,0,169,0,0.0243,210195,243957,2428763,0,0,0,0,0,0,1822310,1779221,8130085,37430,680943,0,332636268,0,0,0,0,0,0,0,0,0,4469554,0,0,0,441,144
2022-08-30 18:41:00,34.73.106.214:26258,0,168,0,0.0245,210337,614727,2195455,0,0,0.00500,0,0,0,1592320,1773966,8083666,37323,676696,0,332412572,0,0,0,0,0,0,0,0,0,4425427,0,0,0,441,144
2022-08-30 18:41:15,34.73.106.214:26258,0,166,0,0.0197,210718,51820625,51317308,0,0,0.00312,0,0,0,2062131,1780280,7977407,37143,668359,0,331965180,0,0,0,0,0,0,0,0,0,5384437,0,0,0,441,144
2022-08-30 18:41:30,34.73.106.214:26258,0,165,0,0.0103,210916,51799653,51317308,0,0,0,0,0,0,1958707,1768745,7924967,36902,664267,0,331629635,0,0,0,0,0,0,0,0,0,4705484,0,0,0,441,144
2022-08-30 18:41:45,34.73.106.214:26258,0,163,0,0.0123,211241,51736739,51275365,0,0,0.00250,0,0,0,27853,1774988,7822195,36730,656234,0,331182243,0,0,0,0,0,0,0,0,0,4678396,0,0,0,441,144
